códigoventas,fecha,códigocliente,códigoproducto,unidades,preciototal
V000000064,14/1/14,C0014,B01KBH547A,15.0,3628.05
V000000065,14/1/14,C0000,B01KBH547A,2.0,483.74
V000000066,14/1/14,C0023,B00K15Q2B0,1.0,517.96
V000000067,15/1/14,C0001,B018IZ0SWI,2.0,774.36
V000000068,15/1/14,C0008,B01DZJFWNC,3.0,715.86
V000000069,15/1/14,C0004,B018IZ0SWI,1.0,387.18
V000000070,15/1/14,C0002,B00NQGP42Y,3.0,1703.58
V000000071,15/1/14,C0009,B01LQV1YHO,1.0,388.14
V000000072,15/1/14,C0003,B01KBH547A,2.0,483.74
V000000073,16/1/14,C0012,B00NQGP42Y,2.0,1135.72
V000000074,16/1/14,C0007,B01EYT1URO,2.0,627.38
V000000075,16/1/14,C0006,B00K15Q2B0,3.0,1553.88
V000000076,16/1/14,C0005,B018IZ0SWI,2.0,774.36
V000000077,17/1/14,C0013,B01DZJFWNC,2.0,477.24
V000000078,17/1/14,C0015,B00NQGP42Y,3.0,1703.58
V000000079,17/1/14,C0011,B00F3J4B5S,2.0,824.56
V000000080,17/1/14,C0014,B016B7INC2,1.0,243.78
V000000081,17/1/14,C0000,B00F3J4B5S,1.0,412.28
V000000082,17/1/14,C0008,B00K15Q2B0,1.0,517.96
V000000083,17/1/14,C0001,B018IZ0SWI,2.0,774.36
V000000084,17/1/14,C0004,B015YCRYZM,3.0,1443.33
V000000085,18/1/14,C0000,B01LQV1YHO,3.0,1164.42
V000000086,18/1/14,C0001,B01DZJFWNC,2.0,477.24
V000000087,18/1/14,C0002,B01KBH547A,3.0,725.61
V000000088,18/1/14,C0003,B018IZ0SWI,3.0,1161.54
V000000089,19/1/14,C0004,B016381QZA,3.0,1445.82
V000000090,19/1/14,C0005,B00K15Q2B0,3.0,1553.88
V000000091,20/1/14,C0006,B00F3J4B5S,1.0,412.28
V000000092,20/1/14,C0007,B00NQGP42Y,3.0,1703.58
V000000093,20/1/14,C0008,B016381QZA,21.0,10120.74
V000000094,20/1/14,C0009,B018IZ0SWI,2.0,774.36
V000000095,20/1/14,C0010,B018IZ0SWI,3.0,1161.54
V000000096,20/1/14,C0011,B01LQV1YHO,12.0,4657.68
V000000097,21/1/14,C0012,B018IZ0SWI,3.0,1161.54
V000000098,21/1/14,C0013,B00K15Q2B0,2.0,1035.92
V000000099,21/1/14,C0014,B00K15Q2B0,2.0,1035.92
V000000100,21/1/14,C0015,B018IZ0SWI,3.0,1161.54
V000000101,21/1/14,C0016,B00F3J4B5S,1.0,412.28
V000000102,21/1/14,C0017,B00F3J4B5S,3.0,1236.84
V000000103,21/1/14,C0018,B00K15Q2B0,2.0,1035.92
V000000104,21/1/14,C0019,B01DZJFWNC,1.0,238.62
V000000105,22/1/14,C0020,B00F3J4B5S,22.0,9070.16
V000000106,22/1/14,C0021,B01DZJFWNC,2.0,477.24
V000000107,22/1/14,C0022,B01KBH547A,1.0,241.87
V000000108,22/1/14,C0023,B016381QZA,19.0,9156.86
V000000109,22/1/14,C0024,B00NQGP42Y,1.0,567.86
V000000110,22/1/14,C0025,B018IZ0SWI,2.0,774.36
V000000111,23/1/14,C0026,B00NQGP42Y,2.0,1135.72
V000000112,23/1/14,C0027,B01DZJFWNC,2.0,477.24
V000000113,23/1/14,C0028,B01LQV1YHO,23.0,8927.22
V000000114,23/1/14,C0029,B00F3J4B5S,3.0,1236.84
V000000115,23/1/14,C0030,B00J0O5J4Y,2.0,804.48
V000000116,24/1/14,C0031,B016381QZA,2.0,963.88
V000000117,24/1/14,C0032,B01EYT1URO,11.0,3450.59
V000000118,24/1/14,C0033,B00F3J4B5S,3.0,1236.84
V000000119,25/1/14,C0034,B00NQGP42Y,2.0,1135.72
V000000120,25/1/14,C0035,B01KBH547A,1.0,241.87
V000000121,25/1/14,C0036,B00K15Q2B0,3.0,1553.88
V000000122,25/1/14,C0037,B01DZJFWNC,2.0,477.24
V000000123,26/1/14,C0038,B00NQGP42Y,2.0,1135.72
V000000124,26/1/14,C0039,B00K15Q2B0,2.0,1035.92
V000000125,26/1/14,C0040,B00K15Q2B0,1.0,517.96
V000000126,26/1/14,C0041,B018IZ0SWI,7.0,2710.26
V000000127,26/1/14,C0042,B01LQV1YHO,1.0,388.14
V000000128,26/1/14,C0043,B01KBH547A,20.0,4837.4
V000000129,27/1/14,C0044,B018IZ0SWI,20.0,7743.6
V000000130,27/1/14,C0045,B01KBH547A,2.0,483.74
V000000131,27/1/14,C0046,B00K15Q2B0,1.0,517.96
V000000132,27/1/14,C0047,B00F3J4B5S,1.0,412.28
V000000133,28/1/14,C0048,B00F3J4B5S,2.0,824.56
V000000134,28/1/14,C0049,B00K15Q2B0,1.0,517.96
V000000135,28/1/14,C0050,B00F3J4B5S,3.0,1236.84
V000000136,29/1/14,C0051,B00NQGP42Y,1.0,567.86
V000000137,29/1/14,C0052,B00NQGP42Y,2.0,1135.72
V000000138,29/1/14,C0053,B00NQGP42Y,22.0,12492.92
V000000139,30/1/14,C0054,B018IZ0SWI,3.0,1161.54
V000000140,30/1/14,C0055,B00K15Q2B0,1.0,517.96
V000000141,30/1/14,C0056,B018IZ0SWI,3.0,1161.54
V000000142,31/1/14,C0057,B018IZ0SWI,3.0,1161.54
V000000143,31/1/14,C0058,B00NQGP42Y,2.0,1135.72
V000000144,31/1/14,C0059,B00K15Q2B0,2.0,1035.92
V000000145,31/1/14,C0060,B00K15Q2B0,2.0,1035.92
V000000146,31/1/14,C0061,B01KBH547A,1.0,241.87
V000000147,31/1/14,C0062,B018IZ0SWI,3.0,1161.54
V000000148,1/2/14,C0063,B00NQGP42Y,1.0,567.86
V000000149,1/2/14,C0064,B01DZJFWNC,2.0,477.24
V000000150,1/2/14,C0065,B00F3J4B5S,3.0,1236.84
V000000151,1/2/14,C0066,B015YCRYZM,3.0,1443.33
V000000152,1/2/14,C0067,B018IZ0SWI,1.0,387.18
V000000153,1/2/14,C0068,B00NQGP42Y,1.0,567.86
V000000154,1/2/14,C0069,B00K15Q2B0,2.0,1035.92
V000000155,2/2/14,C0070,B018IZ0SWI,1.0,387.18
V000000156,2/2/14,C0002,B00K15Q2B0,3.0,1553.88
V000000157,3/2/14,C0012,B00NQGP42Y,1.0,567.86
V000000158,3/2/14,C0011,B01LQV1YHO,2.0,776.28
V000000159,3/2/14,C0003,B016381QZA,1.0,481.94
V000000160,3/2/14,C0019,B01KBH547A,1.0,241.87
V000000161,4/2/14,C0004,B00F3J4B5S,3.0,1236.84
V000000162,4/2/14,C0024,B01EYT1URO,2.0,627.38
V000000163,4/2/14,C0007,B015YCRYZM,1.0,481.11
V000000164,5/2/14,C0005,B00F3J4B5S,3.0,1236.84
V000000165,5/2/14,C0006,B01LQV1YHO,2.0,776.28
V000000166,5/2/14,C0009,B016B7INC2,2.0,487.56
V000000167,6/2/14,C0001,B018IZ0SWI,3.0,1161.54
V000000168,6/2/14,C0008,B00J0O5J4Y,2.0,804.48
V000000169,6/2/14,C0010,B018IZ0SWI,1.0,387.18
V000000170,6/2/14,C0013,B01EYT1URO,3.0,941.0699999999999
V000000171,6/2/14,C0014,B01EYT1URO,1.0,313.69
V000000172,6/2/14,C0016,B01LQV1YHO,1.0,388.14
V000000173,6/2/14,C0017,B01LQV1YHO,3.0,1164.42
V000000174,6/2/14,C0015,B01KBH547A,1.0,241.87
V000000175,7/2/14,C0018,B00K15Q2B0,1.0,517.96
V000000176,7/2/14,C0020,B018IZ0SWI,1.0,387.18
V000000177,7/2/14,C0023,B01KBH547A,3.0,725.61
V000000178,7/2/14,C0025,B016381QZA,1.0,481.94
V000000179,8/2/14,C0026,B018IZ0SWI,1.0,387.18
V000000180,8/2/14,C0027,B01KBH547A,2.0,483.74
V000000181,8/2/14,C0028,B00J0O5J4Y,12.0,4826.88
V000000182,8/2/14,C0029,B00NQGP42Y,1.0,567.86
V000000183,8/2/14,C0030,B00J0O5J4Y,3.0,1206.72
V000000184,8/2/14,C0022,B01KBH547A,2.0,483.74
V000000185,8/2/14,C0021,B00NQGP42Y,4.0,2271.44
V000000186,9/2/14,C0031,B015YCRYZM,2.0,962.22
V000000187,9/2/14,C0032,B01EYT1URO,13.0,4077.97
V000000188,9/2/14,C0033,B00NQGP42Y,2.0,1135.72
V000000189,9/2/14,C0034,B00K15Q2B0,2.0,1035.92
V000000190,9/2/14,C0035,B018IZ0SWI,1.0,387.18
V000000191,9/2/14,C0036,B00NQGP42Y,3.0,1703.58
V000000192,10/2/14,C0037,B016B7INC2,3.0,731.34
V000000193,10/2/14,C0038,B015YCRYZM,2.0,962.22
V000000194,11/2/14,C0039,B01EYT1URO,3.0,941.0699999999999
V000000195,11/2/14,C0040,B00F3J4B5S,2.0,824.56
V000000196,11/2/14,C0041,B00F3J4B5S,4.0,1649.12
V000000197,11/2/14,C0042,B016381QZA,18.0,8674.92
V000000198,11/2/14,C0043,B01DZJFWNC,3.0,715.86
V000000199,11/2/14,C0044,B018IZ0SWI,3.0,1161.54
V000000200,11/2/14,C0045,B00J0O5J4Y,1.0,402.24
V000000201,11/2/14,C0046,B01EYT1URO,3.0,941.0699999999999
V000000202,11/2/14,C0047,B01KBH547A,4.0,967.48
V000000203,12/2/14,C0048,B015YCRYZM,1.0,481.11
V000000204,12/2/14,C0049,B018IZ0SWI,4.0,1548.72
V000000205,12/2/14,C0050,B016B7INC2,1.0,243.78
V000000206,13/2/14,C0051,B01KBH547A,1.0,241.87
V000000207,13/2/14,C0052,B00F3J4B5S,3.0,1236.84
V000000208,13/2/14,C0053,B01KBH547A,3.0,725.61
V000000209,14/2/14,C0054,B016381QZA,3.0,1445.82
V000000210,14/2/14,C0055,B015YCRYZM,1.0,481.11
V000000211,14/2/14,C0056,B00F3J4B5S,1.0,412.28
V000000212,14/2/14,C0057,B00K15Q2B0,4.0,2071.84
V000000213,14/2/14,C0058,B00K15Q2B0,3.0,1553.88
V000000214,15/2/14,C0059,B016B7INC2,2.0,487.56
V000000215,15/2/14,C0060,B00NQGP42Y,3.0,1703.58
V000000216,15/2/14,C0061,B01KBH547A,2.0,483.74
V000000217,15/2/14,C0062,B01DZJFWNC,2.0,477.24
V000000218,15/2/14,C0063,B01EYT1URO,2.0,627.38
V000000219,16/2/14,C0064,B018IZ0SWI,2.0,774.36
V000000220,16/2/14,C0065,B01DZJFWNC,3.0,715.86
V000000221,16/2/14,C0066,B01LQV1YHO,3.0,1164.42
V000000222,17/2/14,C0067,B00F3J4B5S,18.0,7421.039999999999
V000000223,17/2/14,C0068,B01KBH547A,2.0,483.74
V000000224,17/2/14,C0069,B00F3J4B5S,3.0,1236.84
V000000225,17/2/14,C0070,B01DZJFWNC,3.0,715.86
V000000226,17/2/14,C0002,B00F3J4B5S,3.0,1236.84
V000000227,17/2/14,C0012,B00K15Q2B0,13.0,6733.4800000000005
V000000228,18/2/14,C0011,B016B7INC2,4.0,975.12
V000000229,18/2/14,C0003,B00F3J4B5S,4.0,1649.12
V000000230,19/2/14,C0019,B00J0O5J4Y,4.0,1608.96
V000000231,19/2/14,C0004,B00K15Q2B0,17.0,8805.32
V000000232,20/2/14,C0024,B01KBH547A,2.0,483.74
V000000233,20/2/14,C0007,B00NQGP42Y,3.0,1703.58
V000000234,20/2/14,C0005,B00F3J4B5S,3.0,1236.84
V000000235,21/2/14,C0006,B01EYT1URO,1.0,313.69
V000000236,21/2/14,C0009,B018IZ0SWI,2.0,774.36
V000000237,21/2/14,C0001,B01DZJFWNC,3.0,715.86
V000000238,21/2/14,C0008,B00K15Q2B0,1.0,517.96
V000000239,21/2/14,C0010,B016B7INC2,3.0,731.34
V000000240,22/2/14,C0013,B01LQV1YHO,16.0,6210.24
V000000241,22/2/14,C0014,B01EYT1URO,3.0,941.0699999999999
V000000242,22/2/14,C0016,B01LQV1YHO,1.0,388.14
V000000243,22/2/14,C0017,B01LQV1YHO,13.0,5045.82
V000000244,23/2/14,C0015,B015YCRYZM,3.0,1443.33
V000000245,23/2/14,C0018,B00K15Q2B0,1.0,517.96
V000000246,23/2/14,C0020,B00F3J4B5S,3.0,1236.84
V000000247,23/2/14,C0023,B016B7INC2,3.0,731.34
V000000248,23/2/14,C0025,B01KBH547A,4.0,967.48
V000000249,24/2/14,C0026,B00NQGP42Y,1.0,567.86
V000000250,24/2/14,C0027,B00NQGP42Y,1.0,567.86
V000000251,24/2/14,C0028,B00F3J4B5S,3.0,1236.84
V000000252,24/2/14,C0029,B00K15Q2B0,2.0,1035.92
V000000253,24/2/14,C0030,B016381QZA,3.0,1445.82
V000000254,24/2/14,C0022,B01EYT1URO,2.0,627.38
V000000255,25/2/14,C0021,B00NQGP42Y,3.0,1703.58
V000000256,26/2/14,C0031,B01DZJFWNC,20.0,4772.4
V000000257,26/2/14,C0032,B01LQV1YHO,1.0,388.14
V000000258,26/2/14,C0033,B016B7INC2,2.0,487.56
V000000259,26/2/14,C0034,B01KBH547A,2.0,483.74
V000000260,26/2/14,C0035,B018IZ0SWI,3.0,1161.54
V000000261,26/2/14,C0036,B015YCRYZM,2.0,962.22
V000000262,26/2/14,C0037,B018IZ0SWI,1.0,387.18
V000000263,27/2/14,C0038,B01KBH547A,1.0,241.87
V000000264,27/2/14,C0039,B00NQGP42Y,2.0,1135.72
V000000265,27/2/14,C0040,B01KBH547A,2.0,483.74
V000000266,27/2/14,C0041,B015YCRYZM,3.0,1443.33
V000000267,27/2/14,C0042,B00J0O5J4Y,2.0,804.48
V000000268,27/2/14,C0043,B01KBH547A,2.0,483.74
V000000269,28/2/14,C0044,B01KBH547A,2.0,483.74
V000000270,28/2/14,C0045,B018IZ0SWI,2.0,774.36
V000000271,28/2/14,C0046,B00F3J4B5S,3.0,1236.84
V000000272,28/2/14,C0047,B016381QZA,24.0,11566.56
V000000273,28/2/14,C0048,B01LQV1YHO,1.0,388.14
V000000274,28/2/14,C0049,B00J0O5J4Y,2.0,804.48
V000000275,1/3/14,C0050,B016381QZA,24.0,11566.56
V000000276,1/3/14,C0051,B018IZ0SWI,1.0,387.18
V000000277,1/3/14,C0052,B016381QZA,2.0,963.88
V000000278,1/3/14,C0053,B016381QZA,1.0,481.94
V000000279,1/3/14,C0054,B01LQV1YHO,1.0,388.14
V000000280,2/3/14,C0055,B00F3J4B5S,1.0,412.28
V000000281,2/3/14,C0056,B00NQGP42Y,3.0,1703.58
V000000282,3/3/14,C0057,B00NQGP42Y,2.0,1135.72
V000000283,3/3/14,C0058,B00F3J4B5S,2.0,824.56
V000000284,3/3/14,C0059,B01EYT1URO,2.0,627.38
V000000285,3/3/14,C0060,B018IZ0SWI,4.0,1548.72
V000000286,3/3/14,C0061,B00K15Q2B0,3.0,1553.88
V000000287,3/3/14,C0062,B015YCRYZM,1.0,481.11
V000000288,3/3/14,C0063,B018IZ0SWI,2.0,774.36
V000000289,4/3/14,C0064,B018IZ0SWI,2.0,774.36
V000000290,4/3/14,C0065,B00F3J4B5S,2.0,824.56
V000000291,4/3/14,C0066,B018IZ0SWI,2.0,774.36
V000000292,4/3/14,C0067,B00F3J4B5S,1.0,412.28
V000000293,4/3/14,C0068,B00K15Q2B0,10.0,5179.6
V000000294,4/3/14,C0069,B016B7INC2,1.0,243.78
V000000295,4/3/14,C0070,B00K15Q2B0,3.0,1553.88
V000000296,5/3/14,C0002,B018IZ0SWI,2.0,774.36
V000000297,5/3/14,C0012,B018IZ0SWI,3.0,1161.54
V000000298,5/3/14,C0011,B01KBH547A,3.0,725.61
V000000299,5/3/14,C0003,B01LQV1YHO,3.0,1164.42
V000000300,6/3/14,C0019,B016B7INC2,21.0,5119.38
V000000301,6/3/14,C0004,B015YCRYZM,2.0,962.22
V000000302,6/3/14,C0024,B00J0O5J4Y,7.0,2815.6800000000003
V000000303,6/3/14,C0007,B01EYT1URO,2.0,627.38
V000000304,6/3/14,C0005,B01KBH547A,3.0,725.61
V000000305,7/3/14,C0006,B00K15Q2B0,2.0,1035.92
V000000306,7/3/14,C0009,B01DZJFWNC,2.0,477.24
V000000307,7/3/14,C0001,B00F3J4B5S,16.0,6596.48
V000000308,8/3/14,C0008,B01DZJFWNC,1.0,238.62
V000000309,8/3/14,C0010,B016381QZA,1.0,481.94
V000000310,8/3/14,C0013,B016381QZA,4.0,1927.76
V000000311,8/3/14,C0014,B00NQGP42Y,3.0,1703.58
V000000312,8/3/14,C0016,B00K15Q2B0,2.0,1035.92
V000000313,8/3/14,C0017,B00K15Q2B0,9.0,4661.64
V000000314,9/3/14,C0015,B00K15Q2B0,3.0,1553.88
V000000315,9/3/14,C0018,B00F3J4B5S,2.0,824.56
V000000316,9/3/14,C0020,B00NQGP42Y,3.0,1703.58
V000000317,9/3/14,C0023,B018IZ0SWI,2.0,774.36
V000000318,9/3/14,C0025,B00NQGP42Y,2.0,1135.72
V000000319,9/3/14,C0026,B01EYT1URO,2.0,627.38
V000000320,10/3/14,C0027,B018IZ0SWI,11.0,4258.9800000000005
V000000321,10/3/14,C0028,B01EYT1URO,2.0,627.38
V000000322,10/3/14,C0029,B016381QZA,3.0,1445.82
V000000323,10/3/14,C0030,B01KBH547A,1.0,241.87
V000000324,10/3/14,C0022,B01EYT1URO,2.0,627.38
V000000325,11/3/14,C0021,B00J0O5J4Y,1.0,402.24
V000000326,11/3/14,C0031,B015YCRYZM,3.0,1443.33
V000000327,11/3/14,C0032,B01KBH547A,2.0,483.74
V000000328,11/3/14,C0033,B018IZ0SWI,1.0,387.18
V000000329,11/3/14,C0034,B016B7INC2,1.0,243.78
V000000330,11/3/14,C0035,B01KBH547A,3.0,725.61
V000000331,11/3/14,C0036,B01DZJFWNC,1.0,238.62
V000000332,12/3/14,C0037,B00F3J4B5S,3.0,1236.84
V000000333,12/3/14,C0038,B00K15Q2B0,3.0,1553.88
V000000334,12/3/14,C0039,B018IZ0SWI,2.0,774.36
V000000335,13/3/14,C0040,B00NQGP42Y,4.0,2271.44
V000000336,13/3/14,C0041,B00K15Q2B0,2.0,1035.92
V000000337,13/3/14,C0042,B016381QZA,2.0,963.88
V000000338,14/3/14,C0043,B00F3J4B5S,1.0,412.28
V000000339,14/3/14,C0044,B00F3J4B5S,3.0,1236.84
V000000340,14/3/14,C0045,B00J0O5J4Y,2.0,804.48
V000000341,14/3/14,C0046,B018IZ0SWI,2.0,774.36
V000000342,15/3/14,C0047,B01KBH547A,8.0,1934.96
V000000343,15/3/14,C0048,B018IZ0SWI,2.0,774.36
V000000344,15/3/14,C0049,B018IZ0SWI,4.0,1548.72
V000000345,16/3/14,C0050,B018IZ0SWI,1.0,387.18
V000000346,16/3/14,C0051,B018IZ0SWI,1.0,387.18
V000000347,16/3/14,C0052,B00K15Q2B0,1.0,517.96
V000000348,16/3/14,C0053,B01LQV1YHO,2.0,776.28
V000000349,17/3/14,C0054,B01EYT1URO,1.0,313.69
V000000350,17/3/14,C0055,B01KBH547A,2.0,483.74
V000000351,17/3/14,C0056,B00K15Q2B0,1.0,517.96
V000000352,17/3/14,C0057,B018IZ0SWI,2.0,774.36
V000000353,17/3/14,C0058,B00J0O5J4Y,3.0,1206.72
V000000354,17/3/14,C0059,B00F3J4B5S,2.0,824.56
V000000355,18/3/14,C0060,B00K15Q2B0,3.0,1553.88
V000000356,18/3/14,C0061,B016B7INC2,1.0,243.78
V000000357,18/3/14,C0062,B01KBH547A,1.0,241.87
V000000358,18/3/14,C0063,B01EYT1URO,2.0,627.38
V000000359,19/3/14,C0064,B00F3J4B5S,1.0,412.28
V000000360,20/3/14,C0065,B018IZ0SWI,1.0,387.18
V000000361,20/3/14,C0066,B01LQV1YHO,2.0,776.28
V000000362,20/3/14,C0067,B01KBH547A,2.0,483.74
V000000363,20/3/14,C0068,B00K15Q2B0,2.0,1035.92
V000000364,20/3/14,C0069,B00J0O5J4Y,3.0,1206.72
V000000365,21/3/14,C0070,B00NQGP42Y,1.0,567.86
V000000366,21/3/14,C0002,B01LQV1YHO,4.0,1552.56
V000000367,21/3/14,C0012,B01DZJFWNC,13.0,3102.06
V000000368,21/3/14,C0011,B01KBH547A,2.0,483.74
V000000369,21/3/14,C0003,B016381QZA,1.0,481.94
V000000370,21/3/14,C0019,B00F3J4B5S,2.0,824.56
V000000371,21/3/14,C0004,B01KBH547A,1.0,241.87
V000000372,21/3/14,C0024,B016381QZA,4.0,1927.76
V000000373,22/3/14,C0007,B015YCRYZM,1.0,481.11
V000000374,22/3/14,C0005,B00K15Q2B0,1.0,517.96
V000000375,22/3/14,C0006,B01EYT1URO,3.0,941.0699999999999
V000000376,22/3/14,C0009,B01KBH547A,3.0,725.61
V000000377,23/3/14,C0001,B01LQV1YHO,2.0,776.28
V000000378,23/3/14,C0008,B00F3J4B5S,4.0,1649.12
V000000379,23/3/14,C0010,B01KBH547A,2.0,483.74
V000000380,23/3/14,C0013,B00K15Q2B0,1.0,517.96
V000000381,23/3/14,C0014,B00NQGP42Y,1.0,567.86
V000000382,24/3/14,C0016,B018IZ0SWI,1.0,387.18
V000000383,24/3/14,C0017,B01DZJFWNC,2.0,477.24
V000000384,24/3/14,C0015,B00NQGP42Y,3.0,1703.58
V000000385,24/3/14,C0018,B00NQGP42Y,2.0,1135.72
V000000386,24/3/14,C0020,B00NQGP42Y,17.0,9653.62
V000000387,24/3/14,C0023,B018IZ0SWI,3.0,1161.54
V000000388,25/3/14,C0025,B018IZ0SWI,3.0,1161.54
V000000389,25/3/14,C0026,B01DZJFWNC,3.0,715.86
V000000390,25/3/14,C0027,B00K15Q2B0,2.0,1035.92
V000000391,25/3/14,C0028,B00NQGP42Y,2.0,1135.72
V000000392,25/3/14,C0029,B00NQGP42Y,3.0,1703.58
V000000393,25/3/14,C0030,B01KBH547A,1.0,241.87
V000000394,25/3/14,C0022,B018IZ0SWI,2.0,774.36
V000000395,26/3/14,C0021,B00F3J4B5S,3.0,1236.84
V000000396,26/3/14,C0031,B018IZ0SWI,2.0,774.36
V000000397,26/3/14,C0032,B01EYT1URO,13.0,4077.97
V000000398,26/3/14,C0033,B00NQGP42Y,2.0,1135.72
V000000399,26/3/14,C0034,B01DZJFWNC,3.0,715.86
V000000400,27/3/14,C0035,B00NQGP42Y,2.0,1135.72
V000000401,27/3/14,C0036,B018IZ0SWI,2.0,774.36
V000000402,27/3/14,C0037,B01LQV1YHO,2.0,776.28
V000000403,27/3/14,C0038,B01KBH547A,2.0,483.74
V000000404,28/3/14,C0039,B01KBH547A,20.0,4837.4
V000000405,28/3/14,C0040,B00F3J4B5S,2.0,824.56
V000000406,28/3/14,C0041,B00NQGP42Y,1.0,567.86
V000000407,28/3/14,C0042,B00F3J4B5S,1.0,412.28
V000000408,28/3/14,C0043,B016381QZA,17.0,8192.98
V000000409,28/3/14,C0044,B01KBH547A,1.0,241.87
V000000410,28/3/14,C0045,B018IZ0SWI,3.0,1161.54
V000000411,28/3/14,C0046,B01KBH547A,3.0,725.61
V000000412,29/3/14,C0047,B018IZ0SWI,2.0,774.36
V000000413,29/3/14,C0048,B00K15Q2B0,3.0,1553.88
V000000414,29/3/14,C0049,B01LQV1YHO,1.0,388.14
V000000415,30/3/14,C0050,B018IZ0SWI,3.0,1161.54
V000000416,30/3/14,C0051,B01KBH547A,3.0,725.61
V000000417,30/3/14,C0052,B016381QZA,25.0,12048.5
V000000418,30/3/14,C0053,B01EYT1URO,2.0,627.38
V000000419,31/3/14,C0054,B01EYT1URO,3.0,941.0699999999999
V000000420,31/3/14,C0055,B01KBH547A,3.0,725.61
V000000421,31/3/14,C0056,B018IZ0SWI,16.0,6194.88
V000000422,31/3/14,C0057,B016381QZA,18.0,8674.92
