código_venta,fecha,códigocliente,códigoproducto,unidades_predichas,preciototal
V000079781,2025-01-11,C0061,B01KBH547A,2,483.74
V000079782,2025-01-11,C0048,B01KBH547A,4,967.48
V000079783,2025-01-11,C0035,B016381QZA,1,481.94
V000079784,2025-01-11,C0039,B00F3J4B5S,5,2061.3999999999996
V000079785,2025-01-12,C0064,B018IZ0SWI,7,2710.26
V000079786,2025-01-12,C0030,B00F3J4B5S,5,2061.3999999999996
V000079787,2025-01-12,C0066,B01KBH547A,3,725.61
V000079788,2025-01-12,C0017,B01KBH547A,1,241.87
V000079789,2025-01-12,C0012,B01LQV1YHO,6,2328.84
V000079790,2025-01-12,C0070,B015YCRYZM,1,481.11
V000079791,2025-01-13,C0008,B018IZ0SWI,3,1161.54
V000079792,2025-01-13,C0069,B016381QZA,4,1927.76
V000079793,2025-01-13,C0035,B00K15Q2B0,2,1035.92
V000079794,2025-01-13,C0041,B00NQGP42Y,9,5110.74
V000079795,2025-01-13,C0013,B01LQV1YHO,1,388.14
V000079796,2025-01-13,C0023,B00F3J4B5S,10,4122.799999999999
V000079797,2025-01-14,C0040,B00K15Q2B0,3,1553.88
V000079798,2025-01-14,C0068,B01LQV1YHO,5,1940.6999999999998
V000079799,2025-01-14,C0065,B01LQV1YHO,3,1164.42
V000079800,2025-01-14,C0037,B018IZ0SWI,10,3871.8
V000079801,2025-01-14,C0040,B018IZ0SWI,1,387.18
V000079802,2025-01-14,C0040,B01DZJFWNC,1,238.62
V000079803,2025-01-14,C0002,B018IZ0SWI,1,387.18
V000079804,2025-01-14,C0061,B00K15Q2B0,2,1035.92
V000079805,2025-01-14,C0056,B018IZ0SWI,3,1161.54
V000079806,2025-01-14,C0054,B018IZ0SWI,2,774.36
V000079807,2025-01-14,C0007,B00NQGP42Y,2,1135.72
V000079808,2025-01-15,C0019,B00K15Q2B0,1,517.96
V000079809,2025-01-15,C0019,B00NQGP42Y,8,4542.88
V000079810,2025-01-15,C0007,B00F3J4B5S,8,3298.24
V000079811,2025-01-15,C0019,B01EYT1URO,5,1568.45
V000079812,2025-01-15,C0031,B00F3J4B5S,3,1236.84
V000079813,2025-01-15,C0064,B00K15Q2B0,11,5697.56
V000079814,2025-01-16,C0032,B00F3J4B5S,2,824.56
V000079815,2025-01-16,C0010,B01LQV1YHO,2,776.28
V000079816,2025-01-16,C0017,B01LQV1YHO,6,2328.84
V000079817,2025-01-17,C0002,B00K15Q2B0,12,6215.52
V000079818,2025-01-17,C0063,B00K15Q2B0,4,2071.84
V000079819,2025-01-17,C0070,B01KBH547A,10,2418.7
V000079820,2025-01-17,C0026,B00NQGP42Y,1,567.86
V000079821,2025-01-17,C0034,B00NQGP42Y,1,567.86
V000079822,2025-01-17,C0046,B00K15Q2B0,2,1035.92
V000079823,2025-01-17,C0020,B018IZ0SWI,1,387.18
V000079824,2025-01-17,C0050,B01DZJFWNC,1,238.62
V000079825,2025-01-17,C0022,B015YCRYZM,1,481.11
V000079826,2025-01-17,C0026,B018IZ0SWI,1,387.18
V000079827,2025-01-18,C0056,B01EYT1URO,3,941.0699999999999
V000079828,2025-01-18,C0030,B01KBH547A,2,483.74
V000079829,2025-01-18,C0024,B00K15Q2B0,3,1553.88
V000079830,2025-01-18,C0069,B018IZ0SWI,6,2323.08
V000079831,2025-01-18,C0015,B01KBH547A,5,1209.35
V000079832,2025-01-18,C0004,B00F3J4B5S,3,1236.84
V000079833,2025-01-18,C0006,B00K15Q2B0,7,3625.7200000000003
V000079834,2025-01-18,C0046,B01LQV1YHO,7,2716.98
V000079835,2025-01-18,C0065,B018IZ0SWI,6,2323.08
V000079836,2025-01-18,C0029,B00K15Q2B0,1,517.96
V000079837,2025-01-18,C0020,B00NQGP42Y,2,1135.72
V000079838,2025-01-18,C0031,B00NQGP42Y,4,2271.44
V000079839,2025-01-19,C0014,B01KBH547A,5,1209.35
V000079840,2025-01-19,C0018,B015YCRYZM,1,481.11
V000079841,2025-01-19,C0011,B01EYT1URO,9,2823.21
V000079842,2025-01-19,C0029,B00F3J4B5S,6,2473.68
V000079843,2025-01-20,C0018,B00NQGP42Y,6,3407.16
V000079844,2025-01-20,C0023,B018IZ0SWI,5,1935.9
V000079845,2025-01-20,C0005,B016381QZA,2,963.88
V000079846,2025-01-20,C0070,B018IZ0SWI,1,387.18
V000079847,2025-01-20,C0027,B00K15Q2B0,4,2071.84
V000079848,2025-01-20,C0043,B018IZ0SWI,7,2710.26
V000079849,2025-01-21,C0058,B00K15Q2B0,1,517.96
V000079850,2025-01-21,C0042,B00F3J4B5S,1,412.28
V000079851,2025-01-21,C0015,B00K15Q2B0,3,1553.88
V000079852,2025-01-21,C0055,B016B7INC2,4,975.12
V000079853,2025-01-21,C0004,B01KBH547A,3,725.61
V000079854,2025-01-21,C0011,B00NQGP42Y,1,567.86
V000079855,2025-01-21,C0017,B00J0O5J4Y,1,402.24
V000079856,2025-01-22,C0033,B018IZ0SWI,1,387.18
V000079857,2025-01-22,C0011,B00F3J4B5S,1,412.28
V000079858,2025-01-22,C0045,B00NQGP42Y,7,3975.02
V000079859,2025-01-22,C0021,B01KBH547A,5,1209.35
V000079860,2025-01-22,C0056,B00NQGP42Y,1,567.86
V000079861,2025-01-22,C0064,B00NQGP42Y,4,2271.44
V000079862,2025-01-22,C0050,B018IZ0SWI,4,1548.72
V000079863,2025-01-22,C0054,B01KBH547A,4,967.48
V000079864,2025-01-22,C0005,B00F3J4B5S,6,2473.68
V000079865,2025-01-22,C0013,B01KBH547A,4,967.48
V000079866,2025-01-23,C0070,B00NQGP42Y,5,2839.3
V000079867,2025-01-23,C0066,B016381QZA,5,2409.7
V000079868,2025-01-23,C0007,B01LQV1YHO,2,776.28
V000079869,2025-01-23,C0011,B01LQV1YHO,8,3105.12
V000079870,2025-01-23,C0028,B01KBH547A,3,725.61
V000079871,2025-01-23,C0018,B01EYT1URO,2,627.38
V000079872,2025-01-23,C0029,B018IZ0SWI,9,3484.62
V000079873,2025-01-23,C0016,B00K15Q2B0,8,4143.68
V000079874,2025-01-23,C0069,B00K15Q2B0,4,2071.84
V000079875,2025-01-24,C0010,B01KBH547A,4,967.48
V000079876,2025-01-24,C0062,B00NQGP42Y,3,1703.58
V000079877,2025-01-24,C0003,B01DZJFWNC,3,715.86
V000079878,2025-01-24,C0009,B01KBH547A,6,1451.22
V000079879,2025-01-24,C0008,B00K15Q2B0,7,3625.7200000000003
V000079880,2025-01-24,C0038,B00F3J4B5S,2,824.56
V000079881,2025-01-24,C0015,B018IZ0SWI,5,1935.9
V000079882,2025-01-25,C0009,B00NQGP42Y,6,3407.16
V000079883,2025-01-25,C0007,B00K15Q2B0,2,1035.92
V000079884,2025-01-25,C0023,B016381QZA,3,1445.82
V000079885,2025-01-25,C0036,B018IZ0SWI,1,387.18
V000079886,2025-01-25,C0012,B018IZ0SWI,2,774.36
V000079887,2025-01-25,C0049,B018IZ0SWI,3,1161.54
V000079888,2025-01-26,C0052,B00K15Q2B0,1,517.96
V000079889,2025-01-26,C0037,B00F3J4B5S,5,2061.3999999999996
V000079890,2025-01-26,C0020,B01DZJFWNC,6,1431.72
V000079891,2025-01-26,C0066,B01EYT1URO,3,941.0699999999999
V000079892,2025-01-26,C0020,B01KBH547A,2,483.74
V000079893,2025-01-26,C0022,B01EYT1URO,2,627.38
V000079894,2025-01-26,C0044,B01LQV1YHO,2,776.28
V000079895,2025-01-26,C0022,B00K15Q2B0,3,1553.88
V000079896,2025-01-26,C0042,B00NQGP42Y,1,567.86
V000079897,2025-01-26,C0034,B01KBH547A,3,725.61
V000079898,2025-01-26,C0040,B01KBH547A,4,967.48
V000079899,2025-01-27,C0015,B01EYT1URO,1,313.69
V000079900,2025-01-27,C0039,B00NQGP42Y,3,1703.58
V000079901,2025-01-27,C0017,B018IZ0SWI,3,1161.54
V000079902,2025-01-27,C0065,B01EYT1URO,1,313.69
V000079903,2025-01-27,C0022,B01KBH547A,4,967.48
V000079904,2025-01-27,C0049,B016381QZA,2,963.88
V000079905,2025-01-27,C0002,B01LQV1YHO,8,3105.12
V000079906,2025-01-28,C0009,B01DZJFWNC,6,1431.72
V000079907,2025-01-28,C0031,B01DZJFWNC,10,2386.2
V000079908,2025-01-28,C0067,B018IZ0SWI,4,1548.72
V000079909,2025-01-28,C0027,B016381QZA,3,1445.82
V000079910,2025-01-28,C0054,B016B7INC2,1,243.78
V000079911,2025-01-28,C0069,B01LQV1YHO,4,1552.56
V000079912,2025-01-28,C0014,B00F3J4B5S,2,824.56
V000079913,2025-02-01,C0002,B00F3J4B5S,3,1236.84
V000079914,2025-02-01,C0019,B015YCRYZM,2,962.22
V000079915,2025-02-01,C0020,B01KBH547A,1,241.87
V000079916,2025-02-01,C0054,B00F3J4B5S,1,412.28
V000079917,2025-02-01,C0019,B00F3J4B5S,2,824.56
V000079918,2025-02-02,C0039,B00K15Q2B0,3,1553.88
V000079919,2025-02-02,C0009,B018IZ0SWI,3,1161.54
V000079920,2025-02-02,C0003,B00J0O5J4Y,1,402.24
V000079921,2025-02-03,C0011,B01KBH547A,1,241.87
V000079922,2025-02-03,C0029,B018IZ0SWI,6,2323.08
V000079923,2025-02-03,C0026,B018IZ0SWI,6,2323.08
V000079924,2025-02-03,C0046,B016B7INC2,3,731.34
V000079925,2025-02-03,C0006,B01LQV1YHO,4,1552.56
V000079926,2025-02-03,C0067,B01KBH547A,1,241.87
V000079927,2025-02-03,C0059,B00K15Q2B0,4,2071.84
V000079928,2025-02-04,C0014,B01KBH547A,3,725.61
V000079929,2025-02-04,C0052,B01KBH547A,4,967.48
V000079930,2025-02-04,C0041,B01KBH547A,6,1451.22
V000079931,2025-02-04,C0032,B01KBH547A,2,483.74
V000079932,2025-02-04,C0032,B00NQGP42Y,3,1703.58
V000079933,2025-02-04,C0016,B01EYT1URO,2,627.38
V000079934,2025-02-04,C0055,B00NQGP42Y,7,3975.02
V000079935,2025-02-04,C0034,B01KBH547A,5,1209.35
V000079936,2025-02-04,C0015,B00K15Q2B0,10,5179.6
V000079937,2025-02-04,C0047,B018IZ0SWI,4,1548.72
V000079938,2025-02-04,C0033,B018IZ0SWI,2,774.36
V000079939,2025-02-04,C0012,B00K15Q2B0,2,1035.92
V000079940,2025-02-05,C0050,B00F3J4B5S,2,824.56
V000079941,2025-02-05,C0024,B01KBH547A,7,1693.0900000000001
V000079942,2025-02-05,C0014,B018IZ0SWI,2,774.36
V000079943,2025-02-06,C0064,B01EYT1URO,3,941.0699999999999
V000079944,2025-02-06,C0042,B016381QZA,2,963.88
V000079945,2025-02-06,C0014,B00K15Q2B0,3,1553.88
V000079946,2025-02-06,C0069,B015YCRYZM,1,481.11
V000079947,2025-02-06,C0048,B00F3J4B5S,2,824.56
V000079948,2025-02-06,C0061,B00NQGP42Y,3,1703.58
V000079949,2025-02-06,C0009,B00NQGP42Y,2,1135.72
V000079950,2025-02-06,C0058,B018IZ0SWI,1,387.18
V000079951,2025-02-07,C0027,B018IZ0SWI,1,387.18
V000079952,2025-02-07,C0043,B00K15Q2B0,2,1035.92
V000079953,2025-02-07,C0060,B00K15Q2B0,3,1553.88
V000079954,2025-02-07,C0013,B01KBH547A,3,725.61
V000079955,2025-02-07,C0069,B016B7INC2,5,1218.9
V000079956,2025-02-07,C0052,B00F3J4B5S,4,1649.12
V000079957,2025-02-07,C0038,B00K15Q2B0,3,1553.88
V000079958,2025-02-07,C0043,B00NQGP42Y,10,5678.6
V000079959,2025-02-07,C0064,B00K15Q2B0,3,1553.88
V000079960,2025-02-08,C0064,B01KBH547A,1,241.87
V000079961,2025-02-08,C0020,B00NQGP42Y,2,1135.72
V000079962,2025-02-08,C0025,B00F3J4B5S,4,1649.12
V000079963,2025-02-09,C0056,B00NQGP42Y,5,2839.3
V000079964,2025-02-09,C0020,B00F3J4B5S,3,1236.84
V000079965,2025-02-09,C0037,B00J0O5J4Y,2,804.48
V000079966,2025-02-09,C0031,B01DZJFWNC,1,238.62
V000079967,2025-02-09,C0052,B018IZ0SWI,1,387.18
V000079968,2025-02-09,C0019,B01EYT1URO,1,313.69
V000079969,2025-02-10,C0015,B01KBH547A,3,725.61
V000079970,2025-02-10,C0003,B01EYT1URO,1,313.69
V000079971,2025-02-10,C0047,B01KBH547A,2,483.74
V000079972,2025-02-10,C0056,B01EYT1URO,4,1254.76
V000079973,2025-02-10,C0008,B00K15Q2B0,4,2071.84
V000079974,2025-02-10,C0061,B00K15Q2B0,2,1035.92
V000079975,2025-02-11,C0056,B018IZ0SWI,2,774.36
V000079976,2025-02-11,C0056,B01DZJFWNC,2,477.24
V000079977,2025-02-11,C0024,B00J0O5J4Y,4,1608.96
V000079978,2025-02-11,C0045,B01KBH547A,2,483.74
V000079979,2025-02-11,C0011,B00NQGP42Y,6,3407.16
V000079980,2025-02-11,C0009,B016B7INC2,1,243.78
V000079981,2025-02-11,C0023,B018IZ0SWI,2,774.36
V000079982,2025-02-11,C0005,B00F3J4B5S,7,2885.96
V000079983,2025-02-11,C0001,B01KBH547A,8,1934.96
V000079984,2025-02-12,C0028,B018IZ0SWI,2,774.36
V000079985,2025-02-12,C0002,B018IZ0SWI,2,774.36
V000079986,2025-02-12,C0008,B018IZ0SWI,4,1548.72
V000079987,2025-02-12,C0060,B00F3J4B5S,4,1649.12
V000079988,2025-02-12,C0067,B018IZ0SWI,5,1935.9
V000079989,2025-02-12,C0022,B00K15Q2B0,2,1035.92
V000079990,2025-02-13,C0008,B01DZJFWNC,4,954.48
V000079991,2025-02-13,C0047,B00K15Q2B0,6,3107.76
V000079992,2025-02-13,C0010,B01KBH547A,2,483.74
V000079993,2025-02-13,C0067,B00K15Q2B0,4,2071.84
V000079994,2025-02-13,C0068,B00F3J4B5S,1,412.28
V000079995,2025-02-13,C0013,B00F3J4B5S,3,1236.84
V000079996,2025-02-14,C0057,B018IZ0SWI,9,3484.62
V000079997,2025-02-14,C0013,B01DZJFWNC,5,1193.1
V000079998,2025-02-14,C0043,B018IZ0SWI,1,387.18
V000079999,2025-02-14,C0015,B00F3J4B5S,4,1649.12
V000080000,2025-02-14,C0031,B00K15Q2B0,1,517.96
V000080001,2025-02-14,C0024,B016381QZA,1,481.94
V000080002,2025-02-14,C0001,B018IZ0SWI,5,1935.9
V000080003,2025-02-14,C0024,B00F3J4B5S,2,824.56
V000080004,2025-02-15,C0051,B01DZJFWNC,7,1670.3400000000001
V000080005,2025-02-15,C0065,B00NQGP42Y,2,1135.72
V000080006,2025-02-15,C0042,B00F3J4B5S,1,412.28
V000080007,2025-02-15,C0067,B00F3J4B5S,13,5359.639999999999
V000080008,2025-02-15,C0070,B00F3J4B5S,3,1236.84
V000080009,2025-02-15,C0011,B018IZ0SWI,6,2323.08
V000080010,2025-02-15,C0009,B01LQV1YHO,1,388.14
V000080011,2025-02-16,C0026,B01DZJFWNC,9,2147.58
V000080012,2025-02-16,C0026,B01KBH547A,7,1693.0900000000001
V000080013,2025-02-16,C0007,B00K15Q2B0,1,517.96
V000080014,2025-02-16,C0028,B01KBH547A,3,725.61
V000080015,2025-02-16,C0042,B018IZ0SWI,4,1548.72
V000080016,2025-02-16,C0010,B00K15Q2B0,4,2071.84
V000080017,2025-02-16,C0001,B01LQV1YHO,1,388.14
V000080018,2025-02-16,C0030,B01DZJFWNC,4,954.48
V000080019,2025-02-16,C0040,B00NQGP42Y,7,3975.02
V000080020,2025-02-17,C0003,B00F3J4B5S,1,412.28
V000080021,2025-02-17,C0014,B00NQGP42Y,4,2271.44
V000080022,2025-02-17,C0002,B01KBH547A,1,241.87
V000080023,2025-02-17,C0019,B01LQV1YHO,6,2328.84
V000080024,2025-02-17,C0031,B01EYT1URO,3,941.0699999999999
V000080025,2025-02-17,C0011,B01LQV1YHO,1,388.14
V000080026,2025-02-18,C0060,B015YCRYZM,1,481.11
V000080027,2025-02-18,C0019,B016381QZA,1,481.94
V000080028,2025-02-18,C0021,B00K15Q2B0,1,517.96
V000080029,2025-02-18,C0055,B016B7INC2,1,243.78
V000080030,2025-02-18,C0039,B01KBH547A,8,1934.96
V000080031,2025-02-18,C0069,B00NQGP42Y,1,567.86
V000080032,2025-02-18,C0005,B00NQGP42Y,5,2839.3
V000080033,2025-02-19,C0004,B01KBH547A,3,725.61
V000080034,2025-02-19,C0040,B00K15Q2B0,2,1035.92
V000080035,2025-02-19,C0046,B01KBH547A,1,241.87
V000080036,2025-02-19,C0039,B016381QZA,1,481.94
V000080037,2025-02-19,C0007,B016B7INC2,4,975.12
V000080038,2025-02-19,C0070,B00NQGP42Y,6,3407.16
V000080039,2025-02-20,C0017,B01KBH547A,2,483.74
V000080040,2025-02-20,C0037,B01LQV1YHO,5,1940.6999999999998
V000080041,2025-02-20,C0027,B00F3J4B5S,6,2473.68
V000080042,2025-02-20,C0031,B018IZ0SWI,2,774.36
V000080043,2025-02-21,C0051,B018IZ0SWI,7,2710.26
V000080044,2025-02-21,C0010,B01LQV1YHO,2,776.28
V000080045,2025-02-21,C0006,B00F3J4B5S,2,824.56
V000080046,2025-02-21,C0051,B00J0O5J4Y,2,804.48
V000080047,2025-02-21,C0036,B01KBH547A,3,725.61
V000080048,2025-02-21,C0029,B01EYT1URO,2,627.38
V000080049,2025-02-21,C0041,B00K15Q2B0,6,3107.76
V000080050,2025-02-21,C0063,B00K15Q2B0,1,517.96
V000080051,2025-02-22,C0010,B00F3J4B5S,5,2061.3999999999996
V000080052,2025-02-22,C0008,B00F3J4B5S,4,1649.12
V000080053,2025-02-22,C0034,B00F3J4B5S,3,1236.84
V000080054,2025-02-22,C0046,B00NQGP42Y,6,3407.16
V000080055,2025-02-22,C0003,B01KBH547A,1,241.87
V000080056,2025-02-22,C0015,B018IZ0SWI,3,1161.54
V000080057,2025-02-22,C0039,B00F3J4B5S,5,2061.3999999999996
V000080058,2025-02-22,C0046,B01LQV1YHO,7,2716.98
V000080059,2025-02-23,C0053,B00F3J4B5S,6,2473.68
V000080060,2025-02-23,C0049,B00K15Q2B0,2,1035.92
V000080061,2025-02-23,C0066,B00K15Q2B0,9,4661.64
V000080062,2025-02-23,C0032,B00K15Q2B0,4,2071.84
V000080063,2025-02-23,C0003,B018IZ0SWI,12,4646.16
V000080064,2025-02-23,C0048,B00K15Q2B0,1,517.96
V000080065,2025-02-24,C0017,B00F3J4B5S,3,1236.84
V000080066,2025-02-24,C0044,B01LQV1YHO,6,2328.84
V000080067,2025-02-24,C0003,B00K15Q2B0,8,4143.68
V000080068,2025-02-25,C0028,B00F3J4B5S,5,2061.3999999999996
V000080069,2025-02-25,C0018,B018IZ0SWI,9,3484.62
V000080070,2025-02-25,C0064,B00F3J4B5S,2,824.56
V000080071,2025-02-25,C0010,B01DZJFWNC,12,2863.44
V000080072,2025-02-25,C0004,B018IZ0SWI,3,1161.54
V000080073,2025-02-25,C0052,B00NQGP42Y,4,2271.44
V000080074,2025-02-25,C0038,B018IZ0SWI,2,774.36
V000080075,2025-02-25,C0007,B018IZ0SWI,3,1161.54
V000080076,2025-02-25,C0013,B016381QZA,7,3373.58
V000080077,2025-02-26,C0063,B018IZ0SWI,1,387.18
V000080078,2025-02-26,C0020,B00K15Q2B0,1,517.96
V000080079,2025-02-26,C0038,B01KBH547A,1,241.87
V000080080,2025-02-26,C0019,B00NQGP42Y,5,2839.3
V000080081,2025-02-26,C0010,B018IZ0SWI,3,1161.54
V000080082,2025-02-26,C0025,B01LQV1YHO,5,1940.6999999999998
V000080083,2025-02-27,C0038,B01DZJFWNC,2,477.24
V000080084,2025-02-27,C0018,B01EYT1URO,1,313.69
V000080085,2025-02-27,C0012,B00NQGP42Y,1,567.86
V000080086,2025-02-27,C0036,B018IZ0SWI,2,774.36
V000080087,2025-02-27,C0035,B01KBH547A,4,967.48
V000080088,2025-02-27,C0042,B00K15Q2B0,3,1553.88
V000080089,2025-02-27,C0030,B01LQV1YHO,4,1552.56
V000080090,2025-02-28,C0057,B00F3J4B5S,4,1649.12
V000080091,2025-02-28,C0026,B00F3J4B5S,7,2885.96
V000080092,2025-02-28,C0040,B01KBH547A,4,967.48
V000080093,2025-02-28,C0006,B016B7INC2,2,487.56
V000080094,2025-03-01,C0050,B00F3J4B5S,4,1649.12
V000080095,2025-03-01,C0049,B01KBH547A,8,1934.96
V000080096,2025-03-01,C0013,B016B7INC2,1,243.78
V000080097,2025-03-01,C0027,B018IZ0SWI,8,3097.44
V000080098,2025-03-01,C0066,B00NQGP42Y,3,1703.58
V000080099,2025-03-01,C0008,B018IZ0SWI,2,774.36
V000080100,2025-03-02,C0063,B00K15Q2B0,12,6215.52
V000080101,2025-03-02,C0009,B018IZ0SWI,4,1548.72
V000080102,2025-03-02,C0011,B01LQV1YHO,7,2716.98
V000080103,2025-03-02,C0050,B018IZ0SWI,3,1161.54
V000080104,2025-03-02,C0033,B00K15Q2B0,2,1035.92
V000080105,2025-03-03,C0019,B00F3J4B5S,2,824.56
V000080106,2025-03-03,C0042,B01DZJFWNC,4,954.48
V000080107,2025-03-03,C0069,B01DZJFWNC,3,715.86
V000080108,2025-03-03,C0005,B015YCRYZM,3,1443.33
V000080109,2025-03-03,C0064,B01KBH547A,4,967.48
V000080110,2025-03-03,C0040,B01KBH547A,1,241.87
V000080111,2025-03-03,C0010,B018IZ0SWI,11,4258.9800000000005
V000080112,2025-03-03,C0044,B00NQGP42Y,2,1135.72
V000080113,2025-03-03,C0027,B01DZJFWNC,1,238.62
V000080114,2025-03-03,C0053,B01LQV1YHO,1,388.14
V000080115,2025-03-04,C0033,B01KBH547A,3,725.61
V000080116,2025-03-04,C0009,B00F3J4B5S,3,1236.84
V000080117,2025-03-04,C0009,B00K15Q2B0,3,1553.88
V000080118,2025-03-04,C0045,B00F3J4B5S,4,1649.12
V000080119,2025-03-04,C0012,B00F3J4B5S,5,2061.3999999999996
V000080120,2025-03-05,C0008,B00F3J4B5S,1,412.28
V000080121,2025-03-05,C0028,B00K15Q2B0,1,517.96
V000080122,2025-03-05,C0004,B00K15Q2B0,6,3107.76
V000080123,2025-03-05,C0011,B018IZ0SWI,4,1548.72
V000080124,2025-03-05,C0067,B018IZ0SWI,4,1548.72
V000080125,2025-03-05,C0004,B00F3J4B5S,9,3710.5199999999995
V000080126,2025-03-06,C0035,B01KBH547A,3,725.61
V000080127,2025-03-06,C0051,B00K15Q2B0,5,2589.8
